;;Покупатель:;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;628260   г.Югорск Мира д.15  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;ИНН 8622000931   КПП 997250001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Период;;;;;;Наименование услуги ;;;;;;;;;;;;;;;;;;;;;;;Количество;;;;;;;;;Сумма;;;;;;;
сентябрь;;;;;;Предоставление в пользование абон. линии;;;;;;;;;;;;;;;;;;;;;;;62;;;;шт.;;;;;18573,2;;;;;;;
сентябрь;;;;;;Предоставление в пользование абон. линии СТС;;;;;;;;;;;;;;;;;;;;;;;3;;;;шт.;;;;;1026,6;;;;;;;
сентябрь;;;;;;Предоставление местных тел. соединений;;;;;;;;;;;;;;;;;;;;;;;2201;;;;мин.;;;;;1691,16;;;;;;;
сентябрь;;;;;;Предоставление местных тел. соединений СТС;;;;;;;;;;;;;;;;;;;;;;;118;;;;мин.;;;;;99,49;;;;;;;
сентябрь;;;;;;Перекл. номера на др.линию в помещение по др. адресу ГТС;;;;;;;;;;;;;;;;;;;;;;;1;;;;шт.;;;;;590;;;;;;;
сентябрь;;;;;;Пр провод в реж передачи дан без использ межст линий, обсл ф-лом, ГТС;;;;;;;;;;;;;;;;;;;;;;;1;;;;шт.;;;;;1947;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сентябрь;;;;;;Пр провод в реж телефонии без использ межст линий с частичн обслуж распр сети абон-том ;;;;;;;;;;;;;;;;;;;;;;;1;;;;шт.;;;;;1298;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сентябрь;;;;;;Пр провод в реж телефонии без использ межст линий, обсл ф-лом, ГТС;;;;;;;;;;;;;;;;;;;;;;;3;;;;шт.;;;;;4602;;;;;;;
